REGLAS DE GOBIERNO DE DATOS;;;;;;;;;;;;
;;;;;;;;;;;;
Ejemplo:;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente principal de clasificación:;k_sc_codigo_fuente;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente técnica de soporte:;ka_ni_fuente;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
NA:;obsoleto / excluido;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
ARKETOPS:;control fiscal histórico;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
ka_ni_fuente;sc_nombre_fuente;k_sc_codigo_fuente;CLASIFICACION CASTILLITOS;;UNIDAD;TIPO;IMPACTA VENTAS;IMPACTA COBROS;VISIBLE;ACTIVO;HISTORIAL;OBSERVACION
31;N.C. CLIENTES;N2;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
32;N.C. PROVEEDORES;NP;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
49;COTIZACION;CT;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
53;ORDEN DE COMPRA;OC;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
69;APLICACION ANTICIPOS PROV.;VV;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
78;APLICACION DE ANTIC Y NC PROV;AK;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
79;ORDEN DE TRABAJO;OT;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
82;PRESTAMOS;T+;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
83;DEVOLUCION PTMOS;T-;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
87;COMPRAS ACTIVOS FIJOS;CA;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
112;SISTECREDITO;XX;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
123;CUADRE SAN DIEGO;ES;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
124;CUADRE MAYORCA;EM;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
144;CAMBIO TALLA COLOR;TC;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
146;INV FISICO;I1;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
147;TRASLADO BANCOS;TB;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
154;FACTURA ELECTRONICA VENTA;FL;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
190;PLAN SEPARE;PS;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
191;FACTURA ELECTRÓNICA SANDIEGO ;FS;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
192;ANTICIPOS PLAN SEPARE;AS;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
203;.;VA;N/A;;NO SE USA;EXTERNO;NO;NO;NO;NO;NO;ELIMINAR
131;DEVOLUCION COMPRAS LATIN KIDS;DL;NO OFICIAL;;NO SE USA;EMPRESA;NO;NO;NO;NO;SI;EXCLUIR
94;RECIBO DE CAJA F2;R2;NO OFICIAL;;EMPRESA;COBRO F2/REMISION;NO;SI (+);SI;SI;NO;Pago recibido sobre remisión no oficial (F2), no entra en facturación F1
95; FACTURA DE COMPRAS F2;C2;NO OFICIAL;;EMPRESA;COMPRA FUENTE 2;NO;NO;SI;SI;NO;COMPRA FUENTE 2 Q GENERA UNA CXP
96;GASTOS 2;G2;NO OFICIAL;;EMPRESA;GASTO OPERATIVO;NO;NO;SI;SI;NO;Gasto operativo no relacionado con ingreso
97;EGRESOS 2;E2;NO OFICIAL;;EMPRESA;SALIDA DE DINERO;NO;NO;SI;SI;NO;Salida de dinero no afecta la venta solo el flujo de caja en egresos de tesoreria
98;DEVOLUCIÓN VENTAS F2;D2;NO OFICIAL;;EMPRESA;NOTA CREDITO ;SI (-);NO;SI;SI;NO;Afecta el inventario en positivo y la cartera en negativo
113;AJUSTE CONTABLE F2;J2;NO OFICIAL;;EMPRESA;AJUSTE FINANCIERO INTERNO;NO;NO;SI;SI;NO;Auditoria de contabilidad
128;ANTICIPO CLIENTE F2;A2;NO OFICIAL;;EMPRESA;COBRO ANTICIPADO;NO;SI (+);SI;SI;NO;Anticipo de dinero impacta tesoreria
141;ANTICIPO PROVEEDORES;2V;NO OFICIAL;;EMPRESA;ANTICIPO PROVEEDOR / TESORERIA;NO;NO;SI;SI;NO;"Salida de dinero adelantada a proveedor; debe quedar como activo/anticipo hasta cruzarse con factura de compra"
1;FACTURA DE COMPRA;C1;OFICIAL;;EMPRESA;COMPRA OFICIAL F1;NO;NO;SI;SI;NO;COMPRA FUENTE 1 Q GENERA UNA CXP
3;EGRESOS;E1;OFICIAL;;EMPRESA;F1 OFICIAL;SI (+);NO;SI;SI;NO;FACTURACION OFICIAL EMPRESA
4;RECIBO DE CAJA F1;R1;OFICIAL;;EMPRESA;COBRO OFICIAL ;NO;SI (+);SI;SI;NO;"Pago recibido sobre facturación oficial F1; impacta recaudo y flujo de caja"
10;GASTOS CAUSADOS;G1;OFICIAL;;EMPRESA;GASTO OPERATIVO OFICIAL / CXP;NO;NO;SI;SI;NO;"Obligación ya reconocida contablemente; afecta utilidad y cuentas por pagar aunque no haya pago inmediato"
12;ANTICIPOS CLIENTES SISTECREDITO;AN;OFICIAL;;TIENDAS / RETAIL FINANCIERO;ANTICIPO CLIENTE;NO;SI (+);SI;SI;NO;AFECTA EL EFECTIVO DE LAS TIENDAS EN ELK MOMENTO DEL RECAUDO Y SE CONCILIA A FIN DE MES CON SISTECREDITO
17;AJUSTES CONTABLES;J1;OFICIAL;;ARKETOPS;AJUSTE FINANCIERO;NO;NO;NO;SI;NO;"Corrección contable interna; revisar si afecta ingresos, cartera o costos según naturaleza"
21;NOTAS DÉBITO BANCARIAS;DB;OFICIAL;;ARKETOPS;EGRESO FINANCIERO BANCARIO;NO;NO;SI;SI;NO;Débito realizado por banco: comisión, ajuste, cargo automático o movimiento financiero que reduce caja
